Search terms report
"January 17, 2024 - February 15, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Impr.,Interactions,Clicks,Currency code,Cost,Conversions,Campaign type
solar energy systems,Exact match,Added,G_S_NB_Generic_TX,Solar Systems,[solar energy systems],1,0,0,USD,0.00,0.00,Search
untd solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar companies texas""",1,0,0,USD,0.00,0.00,Search
what does solar cost for a house,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,[solar cost],1,0,0,USD,0.00,0.00,Search
solar panel grants,Exact match,Added,G_S_NB_Generic_TX,Solar Incentives/Credits,[solar panel grants],1,0,0,USD,0.00,0.00,Search
pec solar incentives,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar panel programs""",3,0,0,USD,0.00,0.00,Search
whats the best solar panel,Exact match,Added,G_S_NB_Generic_TX,Solar Panels,[whats the best solar panel],1,0,0,USD,0.00,0.00,Search
tax credit for solar panels,Exact match,Added,G_S_NB_Generic_TX,Solar Incentives/Credits,[tax credit for solar panels],5,0,0,USD,0.00,0.00,Search
walk on solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,photovoltaic panels,1,0,0,USD,0.00,0.00,Search
xoom energy solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
cost to put solar panels on house,Exact match,Added,G_S_NB_Generic_TX,Solar Cost,[cost to put solar panels on house],1,0,0,USD,0.00,0.00,Search
home solar panel inverter,Phrase match (close variant),None,G_S_NB_Generic_TX,Home/Residential Solar,"""solar power for home""",1,0,0,USD,0.00,0.00,Search
sunpower solar panels 400w,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""400w solar panels""",1,1,1,USD,4.59,0.00,Search
tiny home solar panels,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
cuanto vale un panel solar,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""panel solar""",1,0,0,USD,0.00,0.00,Search
solar windows for homes,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar options""",1,0,0,USD,0.00,0.00,Search
who is the best solar company out there,Broad match,None,G_S_NB_Generic_TX,Solar - list,solar power near me,1,0,0,USD,0.00,0.00,Search
best company for solar panels,Exact match,Added,G_S_NB_Generic_TX,Solar Companies,[best company for solar panels],1,0,0,USD,0.00,0.00,Search
solar leases,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Leasing/Financing,"""solar lease companies""",1,0,0,USD,0.00,0.00,Search
solar panel prices 2024,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""get solar panels""",1,1,1,USD,38.91,1.00,Search
how much for house solar panels,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Systems,"""buy solar system""",1,0,0,USD,0.00,0.00,Search
solar panels kwh calculator,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Quotes/Estimates,"""solar panels estimate""",1,0,0,USD,0.00,0.00,Search
cost of solar panels for 2500 sq ft home,Exact match,Added,G_S_NB_Generic_TX,Solar Cost,[cost of solar panels for 2500 sq ft home],24,1,1,USD,4.69,0.00,Search
12 kwh solar system,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""best solar panel system""",2,0,0,USD,0.00,0.00,Search
solar company san antonio,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar energy companies texas""",1,0,0,USD,0.00,0.00,Search
top rated solar companies in california,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar near me""",1,0,0,USD,0.00,0.00,Search
how long do solar shingles last,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar shingles""",1,0,0,USD,0.00,0.00,Search
ion solar bbb,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar electric""",1,0,0,USD,0.00,0.00,Search
solar panel cost per watt,Phrase match (close variant),None,G_S_NB_Generic_TX,Home/Residential Solar,"""solar for home""",1,0,0,USD,0.00,0.00,Search
get solar,Exact match,Added,G_S_NB_Generic_TX,Solar - list,[get solar],32,2,2,USD,16.13,0.00,Search
is solar more expensive than electric,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar costs""",1,0,0,USD,0.00,0.00,Search
cosmo solar energy inc,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar energy""",1,0,0,USD,0.00,0.00,Search
solar panel investment,Broad match,None,G_S_NB_Generic_TX,Solar Calculator,is solar worth it,1,0,0,USD,0.00,0.00,Search
solar energy in houston,Phrase match (close variant),None,G_S_NB_Generic_TX,Texas,"""solar in texas""",1,0,0,USD,0.00,0.00,Search
tax credit for solar panels in texas,Phrase match,None,G_S_NB_Generic_TX,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
trismart solar reviews,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
how expensive is solar energy,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Cost,[solar panels cost],1,0,0,USD,0.00,0.00,Search
